Referencia;Cuenta;Importe;Moneda;Fecha valor;Tipo;Concepto
OP-202607-00861;ES1100490000070000001001;1.006,51;EUR;01/07/2026;Egreso;Proveedor
OP-202607-00907;ES4320850000100000001019;768,84;EUR;01/07/2026;Egreso;Proveedor
OP-202607-00910;ES1320850000110000001025;1.338,28;EUR;01/07/2026;Egreso;Proveedor
OP-202607-00939;ES4520850000190000001027;1.019,47;EUR;01/07/2026;Egreso;Proveedor
OP-202607-00963;ES1121000000640000001026;954,14;EUR;01/07/2026;Egreso;Proveedor
OP-202607-00988;ES6401820000930000003010;2.481,13;EUR;01/07/2026;Ingreso;Cobro cliente
OP-202607-01024;ES9500810000570000003009;2.670,85;EUR;01/07/2026;Ingreso;Cobro cliente
OP-202607-00829;ES3020850000110000001010;1.197,32;EUR;02/07/2026;Egreso;Proveedor
OP-202607-00875;ES4220850000180000001033;537,70;EUR;02/07/2026;Egreso;Proveedor
OP-202607-00876;ES1320850000110000001025;1.264,69;EUR;02/07/2026;Egreso;Proveedor
OP-202607-00889;ES4500810000510000001002;1.755,87;EUR;02/07/2026;Egreso;Proveedor
OP-202607-00894;ES2000810000520000001015;1.092,21;EUR;02/07/2026;Egreso;Proveedor
OP-202607-00940;ES1100490000070000001001;1.256,37;EUR;02/07/2026;Egreso;Proveedor
OP-202607-00976;ES4701820000930000003025;2.165,79;EUR;02/07/2026;Ingreso;Cobro cliente
OP-202607-00845;ES4700490000090000001031;1.102,10;EUR;03/07/2026;Egreso;Proveedor
OP-202607-00852;ES4220850000180000001033;992,84;EUR;03/07/2026;Egreso;Proveedor
OP-202607-00897;ES4800490000010000001017;1.618,23;EUR;03/07/2026;Egreso;Proveedor
OP-202607-00973;ES7121000000610000003003;2.143,86;EUR;03/07/2026;Ingreso;Cobro cliente
OP-202607-00995;ES8700810000580000003007;1.139,23;EUR;03/07/2026;Ingreso;Cobro cliente
OP-202607-01027;ES7121000000610000003003;1.771,59;EUR;03/07/2026;Ingreso;Cobro cliente
OP-202607-01029;ES4320850000130000003006;2.448,76;EUR;03/07/2026;Ingreso;Cobro cliente
OP-202607-01058;ES2400810000510000003029;3.129,78;USD;03/07/2026;Ingreso;Cobro exportación
OP-202607-00895;ES3020850000110000001010;952,16;EUR;04/07/2026;Egreso;Proveedor
OP-202607-00980;ES3800810000500000003020;2.576,32;EUR;04/07/2026;Ingreso;Cobro cliente
OP-202607-01055;ES1621000000650000003021;1.624,15;EUR;04/07/2026;Ingreso;Cobro cliente
OP-202607-00830;ES0621000000660000001018;1.141,17;EUR;05/07/2026;Egreso;Proveedor
OP-202607-00832;ES0821000000630000001032;1.001,26;EUR;05/07/2026;Egreso;Proveedor
OP-202607-00857;ES1200490000020000001034;664,88;EUR;05/07/2026;Egreso;Proveedor
OP-202607-00970;ES6900490000000000003016;1.664,57;EUR;05/07/2026;Ingreso;Cobro cliente
OP-202607-00971;ES7121000000610000003003;1.613,66;EUR;05/07/2026;Ingreso;Cobro cliente
OP-202607-01006;ES4701820000930000003025;2.306,43;EUR;05/07/2026;Ingreso;Cobro cliente
OP-202607-01023;ES5000490000010000003018;1.513,68;EUR;05/07/2026;Ingreso;Cobro cliente
OP-202607-01619;ES6020850000150000009004;210,35;EUR;05/07/2026;Egreso;Mantenimiento
OP-202607-00836;ES9700810000510000001036;1.252,27;EUR;06/07/2026;Egreso;Proveedor
OP-202607-00859;ES2400490000040000001011;1.203,10;EUR;06/07/2026;Egreso;Proveedor
OP-202607-00960;ES1121000000640000001026;1.332,72;EUR;06/07/2026;Egreso;Proveedor
OP-202607-00987;ES5501820000920000003027;3.373,23;EUR;06/07/2026;Ingreso;Cobro cliente
OP-202607-00996;ES2101820000990000003005;2.225,29;EUR;06/07/2026;Ingreso;Cobro cliente
