Referencia;Nº de cuenta;Importe;Moneda;Fecha valor;Concepto
OP-2026000001;ES2620850000170000000012;1.010,97;EUR;23/09/2026;Mantenimiento
OP-2026000002;ES8020850000110000000013;5.359.116,93;COP;20/09/2026;Comisiones
OP-2026000003;ES1800810000550000000225;1.056,51;USD;13/09/2026;Proveedor
OP-2026000004;ES3101280000140000000056;1.255,68;USD;25/09/2026;Mantenimiento
OP-2026000005;ES7900810000560000000048;19.815,98;MXN;19/09/2026;Seguros
OP-2026000006;ES7701820000960000000107;1.088,03;EUR;26/09/2026;Alquiler
OP-2026000007;ES8321000000620000000119;900,62;EUR;20/09/2026;Formación
OP-2026000008;ES7500810000510000000074;18.288,24;MXN;20/09/2026;Proveedor
OP-2026000009;ES5800490000060000000204;743,18;EUR;21/09/2026;Formación
OP-2026000010;ES9100810000580000000025;862,10;EUR;26/09/2026;Suministros
OP-2026000011;ES5900810000550000000166;1.268,05;EUR;18/09/2026;Material de oficina
OP-2026000012;ES7521000000630000000214;724,76;EUR;26/09/2026;Comisiones
OP-2026000013;ES4801280000140000000041;1.127,90;USD;18/09/2026;Mantenimiento
OP-2026000014;ES0700490000010000000203;868,29;USD;21/09/2026;Suministros
OP-2026000015;ES7501820000900000000146;792,63;EUR;24/09/2026;Suministros
OP-2026000016;ES8620850000160000000145;585,43;EUR;17/09/2026;Licencias de software
OP-2026000017;ES2420850000110000000245;983,62;EUR;19/09/2026;Proveedor
OP-2026000018;ES4220850000150000000016;948,96;EUR;25/09/2026;Transporte
OP-2026000019;ES9600810000560000000130;1.047,90;USD;18/09/2026;Seguros
OP-2026000020;ES6200810000510000000017;1.125,41;EUR;17/09/2026;Transporte
OP-2026000021;ES8021000000610000000222;848,63;EUR;27/09/2026;Formación
OP-2026000022;ES5001280000130000000248;885,49;EUR;13/09/2026;Nómina
OP-2026000023;ES7920850000120000000176;957,75;EUR;21/09/2026;Publicidad
OP-2026000024;ES9201280000120000000220;3.564.503,75;COP;18/09/2026;Transporte
OP-2026000025;ES7400490000070000000158;657,91;USD;13/09/2026;Material de oficina
OP-2026000026;ES3101280000140000000056;656,61;EUR;22/09/2026;Servicios profesionales
OP-2026000027;ES8001280000130000000096;801,89;EUR;26/09/2026;Mantenimiento
OP-2026000028;ES5900490000010000000237;816,34;USD;17/09/2026;Material de oficina
OP-2026000029;ES2401280000100000000184;879,84;EUR;19/09/2026;Nómina
OP-2026000030;ES7620850000110000000085;783,14;EUR;17/09/2026;Viajes
OP-2026000031;ES9601280000110000000197;3.637.701,09;COP;19/09/2026;Transporte
OP-2026000032;ES4621000000680000000006;746,73;EUR;21/09/2026;Transporte
OP-2026000033;ES9401820000990000000042;1.532,44;EUR;22/09/2026;Alquiler
OP-2026000034;ES3801820000960000000033;1.101,25;EUR;21/09/2026;Transporte
OP-2026000035;ES9001280000150000000109;1.027,75;EUR;22/09/2026;Proveedor
OP-2026000036;ES4201280000170000000099;819,91;EUR;19/09/2026;Suministros
OP-2026000037;ES6701820000910000000047;712,66;USD;21/09/2026;Nómina
OP-2026000038;ES9100490000070000000240;581,20;USD;21/09/2026;Licencias de software
OP-2026000039;ES4600810000580000000059;1.136,50;EUR;13/09/2026;Nómina
OP-2026000040;ES4800810000520000000123;610,39;EUR;19/09/2026;Seguros
OP-2026000041;ES2501820000990000000023;4.291.021,49;COP;26/09/2026;Proveedor
OP-2026000042;ES9320850000110000000167;1.078,27;EUR;26/09/2026;Comisiones
OP-2026000043;ES9420850000180000000194;821,27;EUR;24/09/2026;Transporte
OP-2026000044;ES5900810000520000000216;1.149,51;EUR;13/09/2026;Licencias de software
OP-2026000045;ES7120850000130000000174;1.220.268,26;COP;21/09/2026;Comisiones
OP-2026000046;ES3520850000140000000191;953,65;EUR;27/09/2026;Comisiones
OP-2026000047;ES7300810000540000000060;1.366,06;EUR;21/09/2026;Comisiones
OP-2026000048;ES4101820000970000000221;772,15;EUR;16/09/2026;Transporte
OP-2026000049;ES9820850000180000000122;675,26;EUR;27/09/2026;Formación
OP-2026000050;ES0620850000190000000080;699,93;USD;16/09/2026;Proveedor
OP-2026000051;ES8700810000550000000244;1.196,86;USD;18/09/2026;Comisiones
OP-2026000052;ES1500810000540000000134;5.024.566,91;COP;24/09/2026;Material de oficina
OP-2026000053;ES8001280000130000000096;858,10;USD;21/09/2026;Viajes
OP-2026000054;ES6201820000960000000183;781,64;EUR;24/09/2026;Alquiler
OP-2026000055;ES9121000000610000000218;4.108.158,07;COP;24/09/2026;Publicidad
OP-2026000056;ES2620850000170000000012;867,11;EUR;19/09/2026;Material de oficina
OP-2026000057;ES5520850000150000000170;1.232,15;EUR;15/09/2026;Mantenimiento
OP-2026000058;ES5901280000140000000037;779,81;EUR;24/09/2026;Material de oficina
OP-2026000059;ES3021000000610000000152;845,55;EUR;23/09/2026;Formación
OP-2026000060;ES3921000000640000000231;911,78;EUR;17/09/2026;Seguros
OP-2026000061;ES5600490000000000000049;494,12;EUR;24/09/2026;Licencias de software
OP-2026000062;ES8501820000980000000156;1.295,79;EUR;23/09/2026;Servicios profesionales
OP-2026000063;ES0201820000900000000199;2.572.403,87;COP;27/09/2026;Mantenimiento
OP-2026000064;ES3400810000510000000133;1.137,95;EUR;13/09/2026;Proveedor
OP-2026000065;ES7601820000920000000030;881,34;EUR;21/09/2026;Licencias de software
OP-2026000066;ES3221000000600000000165;16.758,00;MXN;25/09/2026;Nómina
OP-2026000067;ES9821000000680000000137;19.128,72;MXN;15/09/2026;Publicidad
OP-2026000068;ES3801820000960000000033;995,98;USD;14/09/2026;Transporte
OP-2026000069;ES4400810000520000000098;1.090,44;EUR;17/09/2026;Publicidad
OP-2026000070;ES1100490000070000000031;606,45;EUR;18/09/2026;Servicios profesionales
OP-2026000071;ES9400810000590000000213;19.507,95;MXN;18/09/2026;Licencias de software
OP-2026000072;ES3820850000120000000235;19.333,34;MXN;22/09/2026;Transporte
OP-2026000073;ES8400490000000000000127;866,54;EUR;25/09/2026;Seguros
OP-2026000074;ES5520850000150000000170;760,38;EUR;16/09/2026;Proveedor
OP-2026000075;ES2300810000530000000233;659,36;EUR;27/09/2026;Viajes
OP-2026000076;ES8400490000000000000127;911,86;USD;19/09/2026;Transporte
OP-2026000077;ES6501820000970000000177;901,98;EUR;27/09/2026;Transporte
OP-2026000078;ES1200810000560000000090;767,87;USD;19/09/2026;Comisiones
OP-2026000079;ES3520850000140000000191;14.295,26;MXN;22/09/2026;Licencias de software
OP-2026000080;ES7101280000160000000111;1.010,18;USD;17/09/2026;Transporte
OP-2026000081;ES6200810000510000000114;12.731,36;MXN;17/09/2026;Proveedor
OP-2026000082;ES6620850000150000000069;1.218,81;EUR;16/09/2026;Transporte
OP-2026000083;ES1000810000590000000076;3.084.115,81;COP;22/09/2026;Servicios profesionales
OP-2026000084;ES6101820000980000000103;875,68;USD;13/09/2026;Mantenimiento
OP-2026000085;ES7120850000130000000174;824,33;USD;25/09/2026;Servicios profesionales
OP-2026000086;ES3721000000670000000217;12.778,93;MXN;23/09/2026;Comisiones
OP-2026000087;ES6600810000500000000091;768,78;USD;23/09/2026;Transporte
OP-2026000088;ES6101820000980000000103;808,06;EUR;24/09/2026;Proveedor
OP-2026000089;ES6701280000160000000086;698,98;EUR;22/09/2026;Licencias de software
OP-2026000090;ES7521000000630000000214;856,56;USD;25/09/2026;Formación
OP-2026000091;ES1820850000180000000010;998,29;EUR;25/09/2026;Suministros
OP-2026000092;ES5520850000150000000170;785,83;USD;26/09/2026;Seguros
OP-2026000093;ES1420850000150000000132;919,90;EUR;17/09/2026;Publicidad
OP-2026000094;ES7521000000610000000021;520,29;USD;21/09/2026;Viajes
OP-2026000095;ES4721000000610000000040;921,80;EUR;18/09/2026;Suministros
OP-2026000096;ES3220850000100000000053;1.027.163,55;COP;22/09/2026;Licencias de software
OP-2026000097;ES6201820000960000000183;749,59;EUR;21/09/2026;Licencias de software
OP-2026000098;ES4601820000950000000035;1.106,21;EUR;14/09/2026;Nómina
OP-2026000099;ES3701280000190000000188;730,99;EUR;21/09/2026;Suministros
OP-2026000100;ES8120850000180000000234;3.771.268,18;COP;20/09/2026;Licencias de software
OP-2026000101;ES4800810000520000000123;808,44;USD;17/09/2026;Servicios profesionales
OP-2026000102;ES2921000000680000000215;18.911,14;MXN;17/09/2026;Nómina
